Beneficial owner's Country ,Beneficial owner of the ship,Name of ship ,IMO  number,Last flag,Destination yard,Commercial operator ,Registered owner ,Built in (y),Sold for ($/ldt),Ldt (light displacement ton),Type of ship,Single hulled,Unnamed: 13
Greece,Alison Management Corporation ,Seacrest,9000522,Marshall Islands,"Chittagong, Bangladesh",Alison Management Corporation ,Natural Trading Incorporated ,1991,475,20179,Crude Oil Tanker,N,
Greece,Alison Management Corporation ,Goldwing,9000560,Marshall Islands,"Chittagong, Bangladesh",Alison Management Corporation ,Solemar Shipmanagement Limited ,1991,510,20514,Crude Oil Tanker,N,
Greece,Alison Management Corporation ,Low Rider,9000508,Marshall Islands,"Chittagong, Bangladesh",Alison Management Corporation ,Selas Management Company ,1991,510,20187,Crude Oil Tanker,N,
Greece,Antares Shipmanagement S.A. ,Reunion,8907917,Marshall Islands,"Chittagong, Bangladesh",Antares Shipmanagement S.A. ,Reunion Shipping S.A. ,1991,397,17353,Bulker,Y,
Greece,Iason Hellenic Shipping Company Limited ,Caravos Horizon,8419257,Marshall Islands,"Chittagong, Bangladesh",Iason Hellenic Shipping Company Limited ,Regency Maritime Limited ,1985,unknown,9907,Bulker,Y,
Greece,Quantum Shipping Limited,Panostar,8102000,Marshall Islands,"Chittagong, Bangladesh",Quantum Shipping Limited,Picture Maritime Corporation ,1984,432,12500,Bulker,N,
Greece,Sitinas Shipping Company S.A. ,Nava Eliza,8312045,Marshall Islands,"Chittagong, Bangladesh",Sitinas Shipping Company S.A. ,Eliza Marine Company ,1984,unknown,9094,Bulker,Y,
Greece,Andrico Maritime Company S.A.,Krikelo,8307222,Panama,"Chittagong, Bangladesh",Andrico Maritime Company S.A.,Krikelo Shipping S.A. ,1985,unknown,7922,Bulker,Y,
Greece,Atlantic Bulk Carriers Management Limited,Oceanline 1,7622778,Panama,"Chittagong, Bangladesh",Atlantic Bulk Carriers Management Limited,Middlesbrough Shipping & Investment Limited ,1978,415,7512,Bulker,Y,
Greece,Dragnis Group ,Bosporus Bridge,9043768,Panama,"Chittagong, Bangladesh",Goldenport Shipmanagement Limited ,Breaport Maritime S.A. ,1993,unknown,17720,Containership,Y,
Greece,European Navigation Incorporated,Eleftheria K.,8406418,Panama,"Chittagong, Bangladesh",European Navigation Incorporated,Milford Seacarriers S.A. ,1985,395,26048,Bulker,Y,
Greece,Excel Maritime Carriers Limited ,Attractive,8307595,Panama,"Chittagong, Bangladesh",Excel Maritime Carriers Limited ,Excel Maritime Carriers Limited ,1985,408,7468,Bulker,Y,
Greece,Fairport Shipping Limited,Troy,8029521,Panama,"Chittagong, Bangladesh",Fairport Shipping Limited,Global Dominion S.A. ,1981,435,5216,Bulker,Y,
Greece,Kouros Maritime Enterprises Incorporated,Joanna A.,8202513,Panama,"Chittagong, Bangladesh",Kouros Maritime Enterprises Incorporated,Troyan Maritime Limited ,1985,424,8020,Bulker,Y,
Greece,Lavinia Corporation Limited ,Frio Hamburg,8807478,Panama,"Chittagong, Bangladesh",Lavinia Corporation Limited ,Seaview Maritime S.A. ,1988,320,3230,Reefer,N,
Greece,Pendulum Shipmanagement Incorporated,Spring Breeze I,8026139,Panama,"Chittagong, Bangladesh",Pendulum Shipmanagement Incorporated,Rejoy Shipping Company Limited ,1984,425,7415,Bulker,Y,
Greece,The Frangos-Moundreas Group ,Krissa,7626504,Panama,"Chittagong, Bangladesh",Good Faith Shipping Company S.A. ,Shelby Marine Corporation ,1979,unknown,5653,Bulker,Y,
Greece,Trustoil Tankers S.A.,Trust Integrity,9002233,Panama,"Chittagong, Bangladesh",Trustoil Tankers S.A.,Delice Marine Limited ,1992,517,15379,Bulk and Oil Carrier,N,
Greece,Tsakos Shipping and Trading S.A.,Sydney,8606329,Panama,"Chittagong, Bangladesh",Tsakos Shipping and Trading S.A.,Wicklow Shipping Company Limited ,1987,496,23019,Bulker,Y,
Greece,Everlast Shipping S.A.,Runner 1,9000182,St Kitts-Nevis,"Chittagong, Bangladesh",Everlast Shipping S.A.,Eldorado Shipholding Company ,1993,400,22520,Bulker,N,
Greece,GrandUnion Incorporated ,Saint Vladimir,8111958,St Kitts-Nevis,"Chittagong, Bangladesh",GrandUnion Incorporated ,Grand Anemi Limited ,1988,unknown,unknown,Bulker,Y,
Greece,Dianik Bross Shipping Corporation S.A.,Steel Andronikos,8103236,St Vincent & Grenadines,"Chittagong, Bangladesh",Dianik Bross Shipping Corporation S.A.,Noma Maritime & Holdings S.A. ,1982,473,9667,Bulker,Y,
Greece,Polembros Shipping Limited,Alina II,8406896,St Vincent & Grenadines,"Chittagong, Bangladesh",Polembros Shipping Limited,Pompey Shipping Corporation ,1986,490,22083,Bulker,Y,
Hong Kong,Hong Xiang Shipping Holding (Hong Kong) Company Limited,Gold Star,8221674,Hong Kong,"Chittagong, Bangladesh",Hong Xiang Shipping Holding (Hong Kong) Company Limited,Gold Star Shipping Limited ,1984,unknown,unknown,Bulker,Y,
Hong Kong,Univan Ship Management Limited ,Hong Kong Sun,8208206,Hong Kong,"Chittagong, Bangladesh",Univan Ship Management Limited ,Capital Basin Limited ,1984,390,6203,Bulker,N,
Hong Kong,Auspicious Shipping Limited ,Byford,8024911,Panama,"Chittagong, Bangladesh",Auspicious Shipping Limited ,Byford Shipping Limited ,1981,unknown,unknown,Bulker,N,
Hong Kong,Ever Glory Maritime Company Limited,Hyperlink,8112055,Panama,"Chittagong, Bangladesh",Ever Glory Shipping Enterprises Company Limited ,Zenith Shipping Limited ,1983,455,10132,Bulker,Y,
Hong Kong,Fujian Marine Company Limited,Bestking,8107555,Panama,"Chittagong, Bangladesh",Fujian Marine Company Limited,Bothwell Shipping Limited ,1983,470,7933,Bulker,Y,
Hong Kong,Haistar Maritime Company Limited,Flourish,8723610,Panama,"Chittagong, Bangladesh",Ocean Star Shipping (Hong Kong) Company Limited ,Haistar Shipping Limited ,1988,392,13350,Bulker,Y,
Hong Kong,Jinhui Shipping & Transportation Limited ,Mei Hua,7526601,Panama,"Chittagong, Bangladesh",Goldbeam International Limited ,Huafeng Shipping Incorporated ,1982,unknown,17082,Bulker,Y,
Hong Kong,Weilan Navigation Group Company Limited ,Zhong Hang 1,8000472,Panama,"Chittagong, Bangladesh",Weilan Navigation Group Company Limited ,Weilan Navigation Group Company Limited ,1982,421,12074,Bulker,Y,
Hong Kong,Hua Yang International Marine,Golden Hua Yi,8002767,Sierra Leone,"Chittagong, Bangladesh",Hua Yang International Marine,Grand Wide Shipping Limited ,1981,unknown,unknown,Bulker,Y,
India,The Shipping Corporation of India Limited,Andakini,8321058,Comoros,"Chittagong, Bangladesh",The Shipping Corporation of India Limited,The Shipping Corporation of India Limited,1986,unknown,unknown,Bulker,Y,
India,Eastern Bulk Company Limited,Rising Glory,8828915,India,"Chittagong, Bangladesh",Eastern Bulk Company Limited,Eastern Bulk Company Limited,1985,unknown,unknown,General cargo ship,Y,
India,Gati Limited ,Gati Zipp,8223531,India,"Chittagong, Bangladesh",Gati Coast-to-Coast ,Gati Limited ,1983,unknown,unknown,General cargo ship,Y,
India,Goodearth Maritime Limited,Good Union,9071715,India,"Chittagong, Bangladesh",Goodearth Maritime Limited,Goodearth Maritime Limited,1994,495,13420,Bulker,Y,
India,PFS Shipping (India) Limited,PFS Narayana,8130667,India,"Chittagong, Bangladesh",PFS Shipping (India) Limited,PFS Shipping (India) Limited,1983,unknown,unknown,Bulker,N,
India,Rarefield Shipping Private Limited,Elsin Rani,9065900,India,"Chittagong, Bangladesh",Rarefield Shipping Private Limited,Rarefield Shipping Incorporated ,1994,465,4255,General cargo ship ,Y,
India,Rarefield Shipping Private Limited,Russel Rani,9080170,India,"Chittagong, Bangladesh",Rarefield Shipping Private Limited,Rarefield Shipping Incorporated ,1995,unknown,unknown,General cargo ship ,Y,
India,Seven Islands Shipping Limited,Triumph,8118401,India,"Chittagong, Bangladesh",Seven Islands Shipping Limited,Seven Islands Shipping Limited,1984,425,10118,Product Tanker,N,
India,The Shipping Corporation of India Limited ,Sagar,8409783,Tuvalu,"Chittagong, Bangladesh",The Shipping Corporation of India Limited ,The Shipping Corporation of India Limited ,1987,unknown,10275,Bulker ,Y,
Indonesia,Bina Surya Group,Prosperous,8005094,Indonesia,"Chittagong, Bangladesh","Arpeni Pratama Ocean Line, P.T. Perusahaan Pelayaran Samudera Khusus (APOL) ",Prosperous Ships Holding Limited ,1982,456,10963,Bulker ,Y,
Indonesia,P.T. Cakra Bahana,Temasek,8108901,Indonesia,"Chittagong, Bangladesh",PT Cakra Bahana,PT Cakra Bahana,1982,378,unknown,Product Tanker,Y,
Indonesia,P.T. Pelayaran Tempuran Emas Tbk. ,Curug Mas,8022640,Indonesia,"Chittagong, Bangladesh",P.T. Pelayaran Tempuran Emas Tbk. ,P.T. Pelayaran Tempuran Emas Tbk. ,1982,unknown,2371,General Cargo ship,Y,
Indonesia,P.T. Pelayaran Tempuran Emas Tbk. ,Umbul Mas,7349845,Indonesia,"Chittagong, Bangladesh",P.T. Pelayaran Tempuran Emas Tbk. ,P.T. Pelayaran Tempuran Emas Tbk. ,1974,unknown,unknown,Containership,N,
Indonesia,P.T. Samudera Sukses Makmur ,Bogasari Dua,7613985,Indonesia,"Chittagong, Bangladesh",P.T. Samudera Sukses Makmur ,P.T. Samudera Sukses Makmur ,1977,415,7926,Bulker,N,
Indonesia,P.T. Berlian Laju Tanker Tbk. ,Anggraini,9018696,Singapore,"Chittagong, Bangladesh",P.T. Berlian Laju Tanker Tbk. ,Fatmarini Maritime Private Limited ,1995,517,10830,Chemical and Oil tanker,N,
Indonesia,P.T. Berlian Laju Tanker Tbk.,Jas,9117234,St Kitts-Nevis,"Chittagong, Bangladesh",P.T. Berlian Laju Tanker Tbk.,Anjasmoro Marine Private Limited ,1996,490,10830,Chemical and Oil tanker,N,
Italy,BM Shipping Group S.p.A.,Intrepid,8209755,Comoros,"Chittagong, Bangladesh",BM Shipping Group S.p.A.,BM Shipping Group S.p.A.,1983,462,5940,General Cargo ship,N,
Italy,BM Shipping Group S.p.A.,BM Hope,7618284,Panama,"Chittagong, Bangladesh",BM Shipping Group S.p.A.,BM Shipping Group S.p.A.,1978,462,7933,Bulker,Y,
Italy,BM Shipping Group S.p.A. ,BM Warrior,8412534,Panama,"Chittagong, Bangladesh",BM Shipping Group S.p.A. ,BM Shipping Group S.p.A. ,1986,unknown,5489,General Cargo ship,N,
Italy,Siba S.p.A.,Ocean Shearer,7810935,Panama,"Chittagong, Bangladesh",Siba S.p.A.,Wellard Ships Private Limited ,1981,unknown,21588,Livestock carrier,Y,
Italy,Vittorio Bogazzi & Figli S.p.A.,B America,8312019,Panama,"Chittagong, Bangladesh",Vittorio Bogazzi & Figli S.p.A.,Atlasnavios - Navegacao Lda ,1984,383,8105,Bulker,N,
Italy,Vittorio Bogazzi & Figli S.p.A.,B India,8204016,Panama,"Chittagong, Bangladesh",Vittorio Bogazzi & Figli S.p.A.,Atlasnavios - Navegacao Lda ,1983,383,9535,Bulker,Y,
Italy,Stradeblu S.r.l.,Gigante,7617735,St Kitts-Nevis,"Chittagong, Bangladesh",Stradeblu S.r.l.,Stradeblu S.r.l.,1977,unknown,6331,Ro-Ro,Y,
Malaysia,Hellas Marine Services Sendirian Berhad ,Santa Suria I,8512841,Malaysia,"Chittagong, Bangladesh",Hellas Marine Services Sendirian Berhad ,Bendera Mawar Sendirian Berhad ,1987,unknown,unknown,Bulker,Y,
Malaysia,Hellas Marine Services Sendirian Berhad,Santa Suria II,7628291,Malaysia,"Chittagong, Bangladesh",Hellas Marine Services Sendirian Berhad,Samudera Sempurna Sendirian Berhad ,1987,unknown,7410,General cargo ship,N,
Mexico,Government of Mexico ,Sebastian,7383293,St Kitts-Nevis,"Chittagong, Bangladesh",Petroleos Mexicanos Gerencia de Transportacion Maritima (Pemex) ,Petroleos Mexicanos Gerencia de Transportacion Maritima (Pemex) ,1976,unknown,unknown,Product tanker,Y,
Monaco,Gestion Maritime S.A.M.,Francesco,8011421,Bahamas,"Chittagong, Bangladesh",Gestion Maritime S.A.M.,Leyton Limited ,1983,450,11099,Bulker,N,
Monaco,Sammy Ofer Group Monaco ,Eridge,9043471,Bermuda,"Chittagong, Bangladesh",Zodiac Maritime Agencies Limited ,Judeson Shipping Limited ,1993,unknown,16035,Bulker,Y,
Monaco,Sammy Ofer Group Monaco ,Hadi,8906690,Bermuda,"Chittagong, Bangladesh",Zodiac Maritime Agencies Limited ,Goldfirth Limited ,1990,unknown,unknown,Bulker,N,
Monaco,Sammy Ofer Group Monaco ,Vine,8806498,Bermuda,"Chittagong, Bangladesh",Zodiac Maritime Agencies Limited ,Emeraldian Limited ,1990,unknown,15071,Bulker,N,
Monaco,V  Ships Group Limited ,Ross,8719229,Comoros,"Chittagong, Bangladesh",International Tanker Management Limited ,Cypress Glenross LLC ,1993,422,18668,Crude oil Tanker,N,
Monaco,Sammy Ofer Group Monaco ,Western Jewel,9045467,Singapore,"Chittagong, Bangladesh",Tanker Pacific Management (Singapore) Private Limited ,Reamer Shipping Limited ,1994,438,46142,Crude Oil Tanker,N,
Monaco,Sammy Ofer Group Monaco ,Santa Cruz,8918825,UK,"Chittagong, Bangladesh",Zodiac Maritime Agencies Limited ,Newton Marine Incorporated ,1991,unknown,16604,Containership,Y,
Netherlands,Royal Boskalis Westminster N.V. ,Archi-1,8322014,Comoros,"Chittagong, Bangladesh",Royal Boskalis Westminster N.V. ,BW Marine (Cyprus) Limited ,1985,unknown,17269,Floating Production tanker,N,
Netherlands,Seatrade Holding B.V. ,Spring,8213665,Comoros,"Chittagong, Bangladesh",Seatrade Groningen B.V. ,Zeerederij Noord-Holland B.V. ,1984,417,7808,Reefer,Y,
Norway,Prosafe AS,Taka,8500472,Tuvalu,"Chittagong, Bangladesh",Prosafe Production Services Private Limited ,Prosafe Production Services Private Limited ,1987,unknown,32309,Crude Oil Tanker,Y,
Pakistan,Tomini Ship Management Private Limited ,Unity,9047415,Panama,"Chittagong, Bangladesh",Tomini Ship Management Private Limited ,Parco Maritime Corporation,1994,388,18238,Crude Oil Tanker,N,
Pakistan,Terra Marine Ship Management (Private) Limited ,Riah,9051856,St Kitts-Nevis,"Chittagong, Bangladesh",Terra Marine Ship Management (Private) Limited ,Sicaro Group Corporation ,1994,unknown,unknown,Crude Oil Tanker,Y,
Peru,Petrolera Transoceanica S.A. (PETRANSO),Ando,8509442,Tuvalu,"Chittagong, Bangladesh",Naviera Transoceanica SA ,Anake Navigation ,1987,unknown,unknown,Product tanker,Y,
Peru,Petrolera Transoceanica S.A. (PETRANSO) ,Isabel,8008589,Tuvalu,"Chittagong, Bangladesh",Petrolera Transoceanica S.A. (PETRANSO) ,Ilheus Shipping Corporation ,1986,unknown,unknown,Product tanker,Y,
Peru,Petrolera Transoceanica S.A. (PETRANSO) ,Miria,8302533,Tuvalu,"Chittagong, Bangladesh",Naviera Transoceanica SA ,Sanday Navigation Corporation ,1987,327,unknown,Chemical and oil tanker,N,
Russia,Fortuna Tanker Limited,Messenger,8705591,Cambodia,"Chittagong, Bangladesh",Fortuna Tanker Limited,North Oil Project Limited-Mai ,1992,410,9115,Chemical and oil tanker,N,
Russia,AO Sovfracht,MDD Aurora,8111752,Panama,"Chittagong, Bangladesh",AO Sovfracht,Gurbuz Shipping Incorporated ,1983,unknown,unknown,General Cargo ship,N,
Russia,Reftransflot Joint Stock Company ,Ref Vega,8422709,Panama,"Chittagong, Bangladesh",Reftransflot Joint Stock Company ,Ref Saturn Company Incorporated ,1984,unknown,unknown,Reefer,N,
Russia,Far-Eastern Shipping Company (FESCO) ,Anatoliy Kolesnichenko,8406688,Russia,"Chittagong, Bangladesh",Far-Eastern Shipping Company (FESCO) ,Far-Eastern Shipping Company (FESCO) ,1985,unknown,unknown,RoRo,Y,
Russia,Far-Eastern Shipping Company (FESCO) ,Ivan Makarin,8131908,Russia,"Chittagong, Bangladesh",Far-Eastern Shipping Company (FESCO) ,Far-Eastern Shipping Company (FESCO) ,1981,425,8088,Bulker,Y,
Russia,Far-Eastern Shipping Company (FESCO) ,Kapitan Man,8406690,Russia,"Chittagong, Bangladesh",Far-Eastern Shipping Company (FESCO) ,Far-Eastern Shipping Company (FESCO) ,1985,unknown,unknown,RoRo,Y,
Russia,Far-Eastern Shipping Company (FESCO) ,Kapitan Tsirul,8131910,Russia,"Chittagong, Bangladesh",Far-Eastern Shipping Company (FESCO) ,Far-Eastern Shipping Company (FESCO) ,1981,unknown,unknown,Bulker,Y,
Russia,DD Shipping Limited S.A. ,DD Success,8021517,St Vincent & Grenadines,"Chittagong, Bangladesh",DD Shipping Limited S.A. ,Omega Shipping Incorporated,1982,unknown,7765,Bulker,N,
Singapore,International Marine United Holding Private Limited ,Stanley,8323915,Comoros,"Chittagong, Bangladesh",International Marine United Holding Private Limited ,Greenapple Shipping Company Limited ,1985,360,7455,Bulker,Y,
Singapore,M.M. Shipping (Singapore) Private Limited ,Madina Ke Chaand,7632852,Comoros,"Chittagong, Bangladesh",M.M. Shipping (Singapore) Private Limited ,Vantage Atlantic Limited ,1977,unknown,6330,Vehicle Carrier,Y,
Singapore,Tomorrowind Private Limited ,Marina Bay,8619065,Liberia,"Chittagong, Bangladesh",Tomorrowind Private Limited ,Tomorrowind Private Limited ,1987,468,9510,Containership,N,
Singapore,Tomorrowind Private Limited,Marina South,8619053,Liberia,"Chittagong, Bangladesh",Tomorrowind Private Limited,Marina South Private Limited ,1987,unknown,unknown,Containership,N,
Singapore,International Marine United Holding Private Limited ,Jiajiaxin 1,7932599,Panama,"Chittagong, Bangladesh",International Marine United Holding Private Limited ,Jiajiaxin Shipping Company Limited ,1981,unknown,unknown,Bulker,Y,
Singapore,KS Maritime Private Limited,KS Challenger,8322923,Panama,"Chittagong, Bangladesh",KS Maritime Private Limited,Frontier Shipping Incorporation ,1985,445,9332,Bulker,Y,
Singapore,KS Maritime Private Limited,KS Frontier,8109046,Panama,"Chittagong, Bangladesh",KS Maritime Private Limited,Frontier Shipping Incorporation ,1984,485,8180,Bulker,N,
Singapore,KS Maritime Private Limited,KS Philia,8216772,Panama,"Chittagong, Bangladesh",KS Maritime Private Limited,Hannah Maritime Incorporated ,1984,470,8741,Bulker,N,
Singapore,KS Maritime Private Limited,KS Pioneer,8315231,Panama,"Chittagong, Bangladesh",KS Maritime Private Limited,KS Shipping Corporation ,1984,405,8083,Bulker,Y,
Singapore,KS Maritime Private Limited,KS Trader,8029428,Panama,"Chittagong, Bangladesh",KS Maritime Private Limited,Hannah Maritime Incorporated ,1982,475,8109,Bulker,Y,
Singapore,KS Maritime Private Limited ,KS Trust I,8321060,Panama,"Chittagong, Bangladesh",KS Maritime Private Limited ,KS Shipping Corporation ,1986,unknown,unknown,Bulker,Y,
Singapore,Nobpac Shipping Private Limited ,Eastern Charm,8202276,Panama,"Chittagong, Bangladesh",Nobpac Shipping Private Limited ,Titan Alliance Limited ,1982,unknown,5440,General cargo ship,Y,
Singapore,Pacific King Shipping Holding Private Limited,Hua Fen,8903260,Panama,"Chittagong, Bangladesh",Shanghai Pacific King Ship Management Company Limited ,Hua Fen Shipping Limited ,1990,415,17794,Bulker,Y,
Singapore,RGL Shipping Private Limited,PSU Third,9035230,Panama,"Chittagong, Bangladesh",RGL Shipping Private Limited,PSU Third Limited,1992,425,18580,Bulker,Y,
Singapore,Seatime Shipping Private Limited,Oriental Key,7916222,Panama,"Chittagong, Bangladesh",Seatime Shipping Private Limited,Millennium Shipping Private Limited ,1980,482,8198,Bulker,Y,
Singapore,Hin Leong Marine International (Private) Limited ,Ocean Amber,8711136,Singapore,"Chittagong, Bangladesh",Ocean Tankers (Private) Limited ,Xin Ying Shipping (Private) Limited ,1989,465,unknown,Crude Oil Tanker,Y,
Singapore,Tanker Pacific Management (Singapore) Private Limited,Sunlight Jewel,9041095,Singapore,"Chittagong, Bangladesh",Unknown,Unknown,1993,505,40990,Crude Oil Tanker,N,
Singapore,Hin Leong Marine International (Private) Limited ,Ocean Jewel,8809919,Tuvalu,"Chittagong, Bangladesh",Ocean Tankers (Private) Limited ,Dong Nan Tankers (Private) Limited ,1991,unknown,unknown,Crude Oil Tanker,Y,
Singapore,Hin Leong Marine International (Private) Limited,Ocean Sapphire,8906987,Tuvalu,"Chittagong, Bangladesh",Ocean Tankers (Private) Limited ,Dong Jiang Tankers Private Limited ,1992,unknown,unknown,Crude Oil Tanker,Y,
South Korea,Dusung Shipping Company Limited ,Cebu Star,8103456,Panama,"Chittagong, Bangladesh",Dusung Shipping Company Limited ,Acamar Shipping Corporation ,1982,491,9759,Bulker,Y,
South Korea,Dusung Shipping Company Limited,Lingayen Star,8319691,Panama,"Chittagong, Bangladesh",Dusung Shipping Company Limited,Lingayen Star Shipping Corporation ,1985,412,8071,Bulker,Y,
South Korea,Dusung Shipping Company Limited,Subic Star,8113504,Panama,"Chittagong, Bangladesh",Dusung Shipping Company Limited,Orion Maritime Incorporated ,1984,450,11889,Bulker,Y,
South Korea,EUKOR Car Carriers Incorporated ,Esra,7915943,Panama,"Chittagong, Bangladesh",EUKOR Car Carriers Incorporated ,Anna International Limited S.A. ,1979,unknown,unknown,RoRo,Y,
South Korea,Jinyang Shipping Company Limited,Green Sky,8316546,Panama,"Chittagong, Bangladesh",Jinyang Shipping Company Limited,Ace Shipping Navigation S.A. ,1985,480,8985,Bulker,Y,
South Korea,Jinyang Shipping Company Limited ,Taiglad,8208153,Panama,"Chittagong, Bangladesh",Jinyang Shipping Company Limited ,New Speed Shipping Limited ,1983,unknown,unknown,Bulker,Y,
South Korea,Samsun Global Corporation,Bonafide,9047439,Panama,"Chittagong, Bangladesh",Samsun Logix Corporation ,Bonafide Shipping S.A. ,1997,453,28439,Bulker,Y,
South Korea,Samsun Global Corporation,Longevity,8312150,Panama,"Chittagong, Bangladesh",Samsun Logix Corporation ,Meriel Shipping S.A. ,1986,413,11028,Bulker,N,
South Korea,Shippingbank Company Limited,T Star,8307428,Panama,"Chittagong, Bangladesh",Shippingbank Company Limited,Ocean LK Maritime S.A. ,1985,415,7778,Bulker,Y,
South Korea,Soosung Corporation Limited,Santa Cruz II,7423940,Panama,"Chittagong, Bangladesh",Soosung Corporation Limited,Santa Cruz Shipping S.A. ,1977,465,12270,Bulker,Y,
South Korea,STX Pan Ocean Company Limited,Ocean Olympic,8323446,Panama,"Chittagong, Bangladesh",STX Pan Ocean Company Limited,Global Pacific Shipping Navigation S.A. ,1985,400,6966,Bulker,Y,
South Korea,Dong-A Tanker Corporation Limited ,Dong-A Rhea,9035424,South Korea,"Chittagong, Bangladesh",Dong-A Tanker Corporation Limited ,Dong-A Tanker Corporation Limited ,1993,428,unknown,Bulker,Y,
South Korea,STX Pan Ocean Company Limited ,Ocean Lord,8308094,South Korea,"Chittagong, Bangladesh",STX Pan Ocean Company Limited ,STX Pan Ocean Company Limited ,1984,465,unknown,Bulker,Y,
South Korea,Hanjoo Maritime Company Limited,Bright,9041186,St Kitts-Nevis,"Chittagong, Bangladesh",Hanjoo Maritime Company Limited,Ringer Shipping S.A. ,1992,377,14783,Crude Oil Tanker,N,
South Korea,Hyundai Merchant Marine Company Limited,Olympia,8519019,St Kitts-Nevis,"Chittagong, Bangladesh",Hyundai Merchant Marine Company Limited,Hyundai Merchant Marine Company Limited,1987,452,21742,Bulker,Y,
Switzerland,Doris Maritime Services S.A. ,Italiano,8806785,Comoros,"Chittagong, Bangladesh",Doris Maritime Services S.A. ,Icon Containership III LLC ,1991,409,14465,Containership,N,
Switzerland,Mediterranean Shipping Company (MSC) SA ,MSC Roberta,8511287,Panama,"Chittagong, Bangladesh",Mediterranean Shipping Company (MSC) SA ,Compania Naviera Roberta S.A. ,1986,unknown,15137,Containership,Y,
Taiwan,Taiwan Navigation Company Limited,Kee Lung,8128755,Panama,"Chittagong, Bangladesh",Taiwan Navigation Company Limited,Tai Shing Maritime Company S.A. ,1985,418,7923,Bulker,Y,
Taiwan,Wisdom Marine Lines S.A.,Strait Challenger,8103200,Panama,"Chittagong, Bangladesh",Wisdom Marine Lines S.A.,Asiaeuro Investment S.A. ,1982,496,5944,Bulker,Y,
Thailand,CTS Marine Company Limited ,Orient Pacific,7608370,Sierra Leone,"Chittagong, Bangladesh",CTS Marine Company Limited ,Orient Pacific Maritime ,1976,405,unknown,General Cargo ship,Y,
Thailand,Ama Marine Company Limited ,Ama 3,8103597,Thailand,"Chittagong, Bangladesh",Ama Marine Company Limited ,Ama Marine Company Limited ,1981,unknown,1365,Chemical tanker,N,
Thailand,CTS Marine Company Limited ,CTS Pacific,7326702,Thailand,"Chittagong, Bangladesh",CTS Marine Company Limited ,CTS Marine Company Limited ,1973,unknown,2457,General Cargo ship,Y,
Thailand,Phulsawat Navy Company Limited,Dibena Happy,7381348,Thailand,"Chittagong, Bangladesh",Phulsawat Navy Company Limited,Dibena Maritime Company Limited ,1974,unknown,unknown,General cargo ship,Y,
Thailand,Phulsawat Navy Company Limited,Dibena Unity,7404504,Thailand,"Chittagong, Bangladesh",Phulsawat Navy Company Limited,Siam Phulsawat Maritime Company Limited ,1974,unknown,2427,General cargo ship,N,
Turkey,Ayanoglu Denizcilik ve Ticaret A.S. ,Orhan Ayanoglu,8218756,Panama,"Chittagong, Bangladesh",Ayanoglu Denizcilik ve Ticaret A.S. ,North Wind Maritime Limited ,1982,unknown,3010,General cargo ship,Y,
UAE,Sahil International Trading LLC,North Star,7921605,Mongolia,"Chittagong, Bangladesh",Sahil International Trading LLC,Coral Maritime Company Limited ,1980,unknown,unknown,Bulker,Y,
UAE,Ocean Marine Shipping LLC,Arabian Venture,7822378,Panama,"Chittagong, Bangladesh",Ocean Marine Shipping LLC,Ocean Trade Shipping Incorporated ,1980,470,7779,Bulker,N,
UAE,Tristar Transport LLC ,Kuwait,8613293,St Kitts-Nevis,"Chittagong, Bangladesh",Tristar Transport LLC ,Tristar Energy Limited ,1987,325,10200,Chemical and oil tanker,N,
UK,Sea Management Ltd,African Lark,8918112,Belize,"Chittagong, Bangladesh",Unknown,Milmead Shipping SA,1993,unknown,7175,General Cargo ship,Y,
Ukraine,M Shipping Limited,Dagger,8120868,Moldova,"Chittagong, Bangladesh",M Shipping Limited,M Shipping Limited,1982,unknown,unknown,General cargo ship,N,
USA,Discovery Cruise Line ,Discovery Sun,6815158,Bahamas,"Chittagong, Bangladesh",Discovery Dawn Limited Partnership ,Discovery Sun Partners Incorporated ,1968,unknown,6566,Passenger ship,Y,
USA,Independence Maritime Agency Incorporated,Nassau Paradise,8110318,Bahamas,"Chittagong, Bangladesh",Trojan Maritime Incorporated ,Hapsburg Corporation ,1984,unknown,unknown,Bulker,Y,
USA,PetroMed Corporation,Bic Irini,9006875,Bahamas,"Chittagong, Bangladesh",PetroMed Corporation,Bic Irini Company ,1993,425,17087,Ore and oil carrier,N,
USA,Bahamas Line S.A.,Atlantic Express,8412223,Panama,"Chittagong, Bangladesh",Bahamas Line S.A.,Atlantic Express S de R.L. ,1985,385,6508,Bulker,Y,
USA,TBS International Plc ,Taino Maiden,8314847,Panama,"Chittagong, Bangladesh",TBS Shipping Services Incorporated ,Oldcastle Shipping Company ,1985,420,5714,General Cargo ship,N,
USA,TBS International Plc ,Houma Belle,8312784,Philippines,"Chittagong, Bangladesh",TBS Shipping Services Incorporated ,Quentin Navigation Corporation ,1985,438,unknown,Bulker,Y,
USA,TBS International Plc ,Iroquois Maiden,8109008,Philippines,"Chittagong, Bangladesh",TBS Shipping Services Incorporated ,Intermodal Shipping Incorporated ,1983,unknown,8134,Bulker,Y,
USA,TBS International Plc,La Jolla Belle,8123030,Philippines,"Chittagong, Bangladesh",TBS Shipping Services Incorporated ,Sherman Maritime Corporation ,1982,393,7755,Bulker,Y,
